source,target,rel,contract
acquisition-orchestrator,acquisition-analysis,orch,渠道评估与漏斗优化
activation-orchestrator,activation-aha,orch,Aha Moment识别
activation-orchestrator,activation-onboarding,orch,Onboarding设计
agile-orchestrator,agile-sprint-planning,orch,Sprint规划
agile-orchestrator,agile-daily-sync,orch,每日同步
agile-orchestrator,agile-review,orch,Sprint评审与复盘
analysis-orchestrator,analysis-anomaly,orch,异常检测
analysis-orchestrator,analysis-funnel,orch,漏斗分析
analysis-orchestrator,analysis-retention,orch,留存分析
analysis-orchestrator,data-analysis-report,orch,数据分析报告
business-orchestrator,business-model-canvas,orch,商业模式画布
business-orchestrator,business-value-fit,orch,价值匹配验证
business-orchestrator,business-pricing,orch,定价策略
business-orchestrator,business-strategy-report,orch,商业战略报告
decision-orchestrator,decision-dace,orch,DACE决策循环
decision-orchestrator,decision-culture,orch,数据文化建设
design-orchestrator,design-prd,orch,UI反馈处理
design-orchestrator,design-ia,orch,信息架构设计
design-orchestrator,design-userflow,orch,用户流程设计
design-orchestrator,design-prototype,orch,原型设计
design-orchestrator,interaction-spec,orch,交互设计规范
design-orchestrator,design-handoff-spec,orch,设计交接规范
design-orchestrator,change-impact-analysis,orch,变更影响分析
diagnosis-orchestrator,diagnosis-health,orch,健康度诊断
diagnosis-orchestrator,diagnosis-competition,orch,竞品追踪
diagnosis-orchestrator,competitor-monitoring-report,orch,竞品监控报告
diagnosis-orchestrator,product-sunset-plan,orch,产品下线方案
experiment-orchestrator,experiment-design,orch,实验设计
experiment-orchestrator,experiment-execution,orch,实验执行
growth-orchestrator,growth-model,orch,增长模式诊断
growth-orchestrator,acquisition-orchestrator,orch,获客优化
growth-orchestrator,activation-orchestrator,orch,激活优化
growth-orchestrator,retention-orchestrator,orch,留存优化
growth-orchestrator,revenue-orchestrator,orch,变现优化
growth-orchestrator,growth-strategy-report,orch,增长策略报告
growth-orchestrator,gtm-strategy,orch,GTM策略
growth-orchestrator,product-operations-manual,orch,运营手册
ideation-orchestrator,ideation-workshop,orch,创意工作坊
insight-orchestrator,insight-analysis,orch,需求洞察分析
iteration-orchestrator,iteration-decision,orch,迭代决策
market-orchestrator,market-competitor-analysis,orch,并行采集
metrics-orchestrator,metrics-system,orch,指标体系
metrics-orchestrator,tracking-plan,orch,埋点方案
metrics-orchestrator,metrics-dashboard,orch,Dashboard配置
monitoring-orchestrator,monitoring-pipeline,orch,监控预警Pipeline
monitoring-orchestrator,user-feedback-loop-report,orch,用户反馈闭环
opportunity-orchestrator,opportunity-definition,orch,机会识别与定义
planning-orchestrator,product-proposal,orch,产品提案
planning-orchestrator,strategic-analysis,orch,战略分析
positioning-orchestrator,positioning-strategy,orch,定位策略
product-iteration-orchestrator,design-orchestrator,orch,需求与设计
product-iteration-orchestrator,change-impact-analysis,orch,变更影响分析
product-iteration-orchestrator,api-design-orchestrator,orch,API设计
product-iteration-orchestrator,data-architecture-orchestrator,orch,后端实现
product-iteration-orchestrator,backend-architecture-orchestrator,orch,后端实现
product-iteration-orchestrator,ui-orchestrator,orch,UI变更
product-iteration-orchestrator,release-orchestrator,orch,交付上线
product-iteration-orchestrator,monitoring-orchestrator,orch,交付上线
product-launch-orchestrator,insight-orchestrator,orch,洞察分析
product-launch-orchestrator,market-orchestrator,orch,市场分析
product-launch-orchestrator,business-orchestrator,orch,商业模式
product-launch-orchestrator,positioning-orchestrator,orch,定位策略
product-launch-orchestrator,design-orchestrator,orch,产品设计
product-launch-orchestrator,metrics-orchestrator,orch,指标体系
product-launch-orchestrator,api-design-orchestrator,orch,API设计
product-launch-orchestrator,ui-orchestrator,orch,UI开发
product-launch-orchestrator,data-architecture-orchestrator,orch,后端实现
product-launch-orchestrator,backend-architecture-orchestrator,orch,后端实现
product-launch-orchestrator,release-orchestrator,orch,交付上线
product-launch-orchestrator,monitoring-orchestrator,orch,交付上线
product-launch-orchestrator,iteration-orchestrator,orch,交付上线
product-launch-orchestrator,agile-orchestrator,orch,交付上线
project-planning-orchestrator,planning-project-charter,orch,项目宪章
project-planning-orchestrator,planning-resource,orch,资源锁定
project-planning-orchestrator,planning-kickoff,orch,Kickoff
release-orchestrator,quality-acceptance,orch,质量验收
