name,type,domain,lifecycle,triggers,keywords
pm-00-guide,guide,pm,guide,,产品方法论|产品流程|产品规划|从0到1|产品全流程
acquisition-orchestrator,orchestrator,pm,growth,评估一下获客渠道|优化一下获客漏斗,用户获取|获客渠道|漏斗优化|渠道评估|获客策略
activation-orchestrator,orchestrator,pm,growth,找到Aha Moment|设计新手引导流程,用户激活|Aha Moment|Onboarding|新用户引导|新手引导
agile-orchestrator,orchestrator,pm,project,规划一下Sprint|开一下每日站会,敏捷执行|Sprint规划|每日站会|Sprint评审|敏捷管理
analysis-orchestrator,orchestrator,pm,metrics-ops,帮我分析一下数据|数据有异常，排查一下,数据分析|异常检测|漏斗分析|留存分析|Aha Moment
api-design-orchestrator,orchestrator,backend,backend,设计API接口|制定API规范,API设计|接口契约|API安全|认证鉴权|接口设计
backend-architecture-orchestrator,orchestrator,backend,backend,设计后端架构|选择架构模式,后端架构|架构模式|服务设计|架构审查|技术架构
business-orchestrator,orchestrator,pm,strategy,帮我设计商业模式|产品怎么赚钱,商业模式|商业画布|定价策略|商业战略报告|怎么赚钱
data-architecture-orchestrator,orchestrator,backend,backend,设计数据模型|规划数据架构,数据架构|数据模型|数据迁移|缓存策略|数据库设计
decision-orchestrator,orchestrator,pm,metrics-ops,基于数据做决策|建立数据驱动决策机制,数据决策|DACE循环|数据洞察|决策框架|数据文化
design-orchestrator,orchestrator,pm,design,帮我写PRD|生成产品需求文档,产品设计|PRD|信息架构|原型|交互规范
diagnosis-orchestrator,orchestrator,pm,monitoring,诊断一下产品健康度|追踪一下竞品动态,智能诊断|健康度评分|竞品追踪|问题归因|MTTR
experiment-orchestrator,orchestrator,pm,metrics-ops,设计一个A/B测试|验证一下方案效果,A/B测试|实验设计|统计显著性|实验执行|效果验证
growth-orchestrator,orchestrator,pm,growth,帮我制定增长策略|用户增长遇到瓶颈,增长策略|增长模式|AARRR|增长飞轮|增长体系
ideation-orchestrator,orchestrator,pm,design,帮我发散一下创意|构思一下解决方案,创意发散|HMW|SCAMPER|方案构思|产品创意
insight-orchestrator,orchestrator,pm,discovery,帮我分析一下用户需求|需求太多了，帮我排个优先级,需求分析流程|需求洞察编排|需求优先级全流程|JTBD|5Whys
iteration-orchestrator,orchestrator,pm,monitoring,规划下一个迭代|调整一下优先级,迭代决策|Backlog优化|优先级调整|迭代复盘|迭代规划
market-orchestrator,orchestrator,pm,discovery,帮我分析一下市场|看看竞品都在做什么,市场分析|竞品分析|PEST|竞品情报|四象限
metrics-orchestrator,orchestrator,pm,metrics-design,帮我设计指标体系|规划一下数据埋点,度量设计|指标体系|埋点方案|数据指标|KPI设计
monitoring-orchestrator,orchestrator,pm,monitoring,建立产品监控体系|线上有异常告警,监控预警|异常检测|告警分级|监控系统|健康监控
opportunity-orchestrator,orchestrator,pm,discovery,帮我评估一下这个产品机会|识别一下有哪些产品机会,机会识别|机会评分|HMW|产品机会|机会评估
planning-orchestrator,orchestrator,pm,strategy,帮我做产品立项|制定一下战略规划,产品立项|战略规划|SWOT|OKR|路线图
positioning-orchestrator,orchestrator,pm,strategy,帮我确定产品定位|分析一下差异化优势,产品定位|差异化|价值曲线|竞争策略|品牌定位
product-iteration-orchestrator,orchestrator,cross-domain,cross-domain,给现有产品加一个支付功能|需求改了，需要调整,功能迭代|需求变更|增量更新|跨领域|产品优化
product-launch-orchestrator,orchestrator,cross-domain,cross-domain,我要做一个交易商城系统|我们想从0到1做一个SaaS产品,产品启动|从0到1|新产品|全流程|跨领域
project-planning-orchestrator,orchestrator,pm,project,启动一个新项目|做一下项目规划,项目规划|项目宪章|资源规划|Kickoff|项目启动
release-orchestrator,orchestrator,pm,monitoring,发布产品|灰度上线,产品发布|上线|灰度|发布检查|发布说明
retention-orchestrator,orchestrator,pm,growth,用户流失严重|提升用户留存率,用户留存|流失预警|分层运营|参与度|留存策略
revenue-orchestrator,orchestrator,pm,growth,优化付费转化率|提升产品收入,商业化|付费漏斗|NRR|增购策略|收入优化
risk-orchestrator,orchestrator,pm,project,识别一下项目风险|监控项目风险,风险管理|风险识别|风险监控|风险升级|风险登记册
