name,type,domain,lifecycle,triggers,keywords
pm-00-guide,guide,pm,guide,,Product Methodology|Product Process|Product Planning|Zero to One|Full Product Lifecycle
acquisition-orchestrator,orchestrator,pm,growth,Evaluate acquisition channels|Optimize acquisition funnel,User Acquisition|Acquisition Channels|Funnel Optimization|Channel Evaluation|Acquisition Strategy
activation-orchestrator,orchestrator,pm,growth,Find Aha Moment|Design onboarding flow,User Activation|Aha Moment|Onboarding|New User Onboarding|Beginner Guide
agile-orchestrator,orchestrator,pm,project,Plan a Sprint|Run a daily standup,Agile Execution|Sprint Planning|Daily Standup|Sprint Review|Agile Management
analysis-orchestrator,orchestrator,pm,metrics-ops,Help me analyze the data|Data anomaly detected investigate it,Data Analysis|Anomaly Detection|Funnel Analysis|Retention Analysis|Aha Moment
api-design-orchestrator,orchestrator,backend,backend,Design API interfaces|Define API specifications,API Design|Interface Contract|API Security|Authentication & Authorization|Interface Design
backend-architecture-orchestrator,orchestrator,backend,backend,Design backend architecture|Choose architecture pattern,Backend Architecture|Architecture Pattern|Service Design|Architecture Review|Technical Architecture
business-orchestrator,orchestrator,pm,strategy,Help me design a business model|How does the product make money,Business Model|Business Model Canvas|Pricing Strategy|Business Strategy Report|Monetization
data-architecture-orchestrator,orchestrator,backend,backend,Design data models|Plan data architecture,Data Architecture|Data Model|Data Migration|Caching Strategy|Database Design
decision-orchestrator,orchestrator,pm,metrics-ops,Make data-driven decisions|Establish data-driven decision mechanism,Data Decision|DACE Cycle|Data Insight|Decision Framework|Data Culture
design-orchestrator,orchestrator,pm,design,Help me write a PRD|Generate product requirements document,Product Design|PRD|Information Architecture|Prototype|Interaction Specification
diagnosis-orchestrator,orchestrator,pm,monitoring,Diagnose product health|Track competitor dynamics,Intelligent Diagnosis|Health Score|Competitor Tracking|Issue Attribution|MTTR
experiment-orchestrator,orchestrator,pm,metrics-ops,Design an A/B test|Validate solution effectiveness,A/B Testing|Experiment Design|Statistical Significance|Experiment Execution|Effect Validation
growth-orchestrator,orchestrator,pm,growth,Help me develop a growth strategy|User growth has hit a bottleneck,Growth Strategy|Growth Model|AARRR|Growth Flywheel|Growth System
ideation-orchestrator,orchestrator,pm,design,Help me brainstorm ideas|Ideate solutions,Divergent Thinking|HMW|SCAMPER|Solution Ideation|Product Ideas
insight-orchestrator,orchestrator,pm,discovery,Help me analyze user needs|Too many requirements help me prioritize,Requirement Analysis Process|Requirement Insight Orchestration|Requirement Prioritization Workflow|JTBD|5Whys
iteration-orchestrator,orchestrator,pm,monitoring,Plan the next iteration|Adjust priorities,Iteration Decision|Backlog Optimization|Priority Adjustment|Iteration Retrospective|Iteration Planning
market-orchestrator,orchestrator,pm,discovery,Help me analyze the market|See what competitors are doing,Market Analysis|Competitor Analysis|PEST|Competitive Intelligence|Four-Quadrant Matrix
metrics-orchestrator,orchestrator,pm,metrics-design,Help me design a metrics system|Plan data tracking instrumentation,Metrics Design|Metrics System|Tracking Plan|Data Metrics|KPI Design
monitoring-orchestrator,orchestrator,pm,monitoring,Establish product monitoring system|Production anomaly alert,Monitoring & Alerting|Anomaly Detection|Alert Severity|Monitoring System|Health Monitoring
opportunity-orchestrator,orchestrator,pm,discovery,Help me evaluate this product opportunity|Identify product opportunities,Opportunity Identification|Opportunity Scoring|HMW|Product Opportunity|Opportunity Assessment
planning-orchestrator,orchestrator,pm,strategy,Help me initiate a product|Define strategic planning,Product Initiation|Strategic Planning|SWOT|OKR|Roadmap
positioning-orchestrator,orchestrator,pm,strategy,Help me define product positioning|Analyze differentiation advantages,Product Positioning|Differentiation|Value Curve|Competitive Strategy|Brand Positioning
product-iteration-orchestrator,orchestrator,cross-domain,cross-domain,Add a payment feature to an existing product|Requirements changed need to adjust,Feature Iteration|Requirement Change|Incremental Update|Cross-Domain|Product Optimization
product-launch-orchestrator,orchestrator,cross-domain,cross-domain,I want to build a marketplace system|We want to build a SaaS product from scratch,Product Launch|Zero to One|New Product|Full Lifecycle|Cross-Domain
project-planning-orchestrator,orchestrator,pm,project,Start a new project|Do project planning,Project Planning|Project Charter|Resource Planning|Kickoff|Project Initiation
release-orchestrator,orchestrator,pm,monitoring,Release the product|Gradual rollout,Product Release|Go Live|Grayscale|Release Checklist|Release Notes
retention-orchestrator,orchestrator,pm,growth,Severe user churn|Improve user retention rate,User Retention|Churn Warning|Segmented Operations|Engagement|Retention Strategy
revenue-orchestrator,orchestrator,pm,growth,Optimize payment conversion rate|Increase product revenue,Monetization|Payment Funnel|NRR|Upsell Strategy|Revenue Optimization
risk-orchestrator,orchestrator,pm,project,Identify project risks|Monitor project risks,Risk Management|Risk Identification|Risk Monitoring|Risk Escalation|Risk Register
stakeholder-orchestrator,orchestrator,pm,strategy,Help me manage stakeholders|Write a strategic communication document,Strategic Document|Strategic Communication|Stakeholders|Stakeholder Management|Alignment Communication
ui-orchestrator,orchestrator,ui,ui,Build UI|Write frontend code,UI Design|Frontend Development|UI|Frontend|Interface Development
user-research-orchestrator,orchestrator,pm,discovery,Help me conduct user research|Analyze user feedback,User Research|VOC Analysis|Behavior Analysis|Persona|Interview Assistance
validation-orchestrator,orchestrator,pm,design,Validate product solution|Define MVP scope,Solution Validation|Hypothesis Validation|MVP|Usability Testing|Experiment Design
acquisition-analysis,pipeline,pm,growth,Which channel has the best acquisition performance|Help me check ROI across channels,Acquisition Channels|Channel Evaluation|ROI Analysis|Channel Tiering|Acquisition Optimization
activation-aha,pipeline,pm,growth,When do users find the product delightful|How to find the Aha Moment,Aha Moment|Activation Moment|User Activation|Reach Rate|When Users Find It Useful
activation-onboarding,pipeline,pm,growth,New user onboarding flow is too long|How to help users get started faster,Onboarding|New User Onboarding|Onboarding Optimization|Personalized Onboarding|User Activation
agile-daily-sync,pipeline,pm,project,Daily standup takes too much time|How to run standups efficiently,Daily Standup|Daily Sync|Progress Sync|Blocker Tracking|Agile Daily Report
agile-review,pipeline,pm,project,Sprint is done need a review|How to run an iteration retrospective,Iteration Review|Iteration Retrospective|Agile Retrospective|Review Meeting|Retrospective Report
agile-sprint-planning,pipeline,pm,project,How to plan the next sprint|Which requirements for this iteration,Sprint Planning|Sprint Plan|Iteration Planning|Story Selection|Capacity Matching
analysis-anomaly,pipeline,pm,metrics-ops,DAU suddenly dropped 30% today help me investigate|Metric anomaly alert help me with root cause analysis,Anomaly Detection|Data Analysis|Automated Root Cause|Metric Monitoring|Anomaly Report
analysis-funnel,pipeline,pm,metrics-ops,Registration funnel conversion rate is too low help me analyze|At which step do users drop off the most,Funnel Analysis|Conversion Analysis|Drop-off Point|Conversion Rate|User Path
analysis-retention,pipeline,pm,metrics-ops,New user 7-day retention is only 15% help me analyze|When do users start churning,Retention Analysis|Cohort Analysis|Aha Moment|Churn Warning|User Stickiness
api-design-impl,pipeline,backend,backend,Generate API code|Write interface code,Generate API Code|Write Interface Code|Generate Routes|Generate Service|API Code Generation
