user_expression,mapped_trigger,mapped_domain
用户不活跃,留存下降/用户流失,growth
数据不好,数据异常/指标异常,metrics-ops
没人用,留存低/激活率低,growth
收入下降,变现效率低/NRR下降,growth
响应慢,系统性能/加缓存,backend
查询慢,数据库优化/索引,data
挂了,线上故障/监控告警,monitoring
打不开,可用性/监控告警,monitoring
付费转化差,变现漏斗/收入转化,growth
用户不续费,NRR下降/续费率低,growth
做竞品分析,竞品调研/竞争分析,strategy
做用户画像,Persona/用户建模,discovery
埋点,事件追踪/tracking,metrics-design
写接口文档,API设计/OpenAPI,api
画原型,交互原型/UI设计,design
出设计稿,UI设计/设计系统,ui-design
加功能,需求变更/功能迭代,design
改需求,需求变更/变更影响,design
做活动,运营活动/GTM,growth
估算市场,TAM/SAM/SOM,strategy
定价格,定价策略/商业化,strategy
做OKR,目标制定/OKR,project
排期,项目规划/Sprint,project
做复盘,迭代复盘/Review,project
上线,灰度发布/版本发布,monitoring
做A/B测试,实验设计/效果验证,metrics-ops
看数据,数据分析/指标分析,metrics-ops
做漏斗,漏斗分析/转化分析,metrics-ops
留存分析,用户留存/留存曲线,metrics-ops
异常检测,数据异常/监控告警,monitoring
数据库设计,数据架构/数据模型,data
技术选型,架构设计/技术方案,backend-arch
前端开发,UI前端/组件开发,ui-frontend
设计规范,设计系统/Token,ui-design
做商业模式,商业画布/商业模式,strategy
竞品监控,竞争跟踪/竞品报告,monitoring
风险排查,风险识别/风险管理,project
需求优先级,需求排序/迭代决策,design
产品下线,产品退役/Sunset,monitoring
DAU掉了,DAU下降/用户流失,growth
GMV,交易额/收入分析,growth
转化率低,漏斗转化/转化优化,metrics-ops
获客成本高,CAC分析/获客效率,growth
LTV,用户生命周期价值/变现,growth
MVP,最小可行产品/验证,design
PRD,产品需求文档/需求分析,design
SLA,服务水平协议/监控,monitoring
